title,company,location,salary,job_type,description,posted_date
JOB OPPORTUNITIES,Not mentioned,Chennai - Egmore,"18,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 01:12 PM"
OFFICE ASSISTANT EXECUTIVE,Not mentioned,Chennai - Ottiyabakkam,"18,000 - 20,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge, Pantry Boy","24 Apr 2025, 01:04 PM"
WANTED FOR OFFICE ASSISTANT,Not mentioned,Chennai - Anna Nagar,"25,000 - 45,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 12:23 PM"
Work from Home Part Time Full Time and Fresher job in Varanasi for Office Assistant Helper,Not mentioned,"Varanasi - Aalampura, Kerakatpur, Salarpur, Mohansarai + 1 more","25,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","24 Apr 2025, 10:57 AM"
WANTED OFFICE ASSISTANT HELPERS,Not mentioned,Vellore - Ammoor,"53,000 - 60,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 10:52 AM"
WANTED OFFICE ASSISTANT HELPERS,Not mentioned,Chennai - Perambur,"53,000 - 60,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 10:27 AM"
vacancy available,Not mentioned,"Chennai - Chengalpattu, Guduvanchery, Gandhi Nagar, Gst Road + 1 more","18,000 - 30,000",Full Time Jobs,Office Assistant/Helper,"24 Apr 2025, 08:24 AM"
Work from Home Part Time Full Time and Fresher job in Hyderabad for Office Assistant Helper,Not mentioned,"Hyderabad - ALIND Employees Colony, Green Hamlet, Narketpalli, Sai Valmiki Nagar + 1 more","25,000 - 45,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry-Boy, Inventory-Incharge, Front-desk","24 Apr 2025, 07:14 AM"
Walk-in-Interview Helper,KritiLabs Technologies,"Chennai - Tharamani, Thiruvanmiyur, Perungudi, Velachery","14,000 - 16,000",Full Time Jobs,Office Assistant/Helper - Service-Stations,"24 Apr 2025, 12:13 AM"
permanant vacant openings,Not mentioned,Chennai - Tambaram,"18,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"23 Apr 2025, 07:13 PM"
