title,company,location,salary,job_type,description,posted_date
Business Development Executive,NPM Recruitment,Mumbai - Kandivali East,"15,000 - 30,000",Full Time Jobs,Not mentioned,"03 May 2025, 05:01 PM"
BPO Team Leader,Neojit Technologies,"Bangalore - Cunningham Road, Vasanth Nagar","25,000 - 27,000",Full Time Jobs,Not mentioned,"03 May 2025, 04:54 PM"
Tellecaller investment advisor,Global wealth solution,Kochi - Maradu,"15,000 - 20,000",Full Time Jobs,Not mentioned,"03 May 2025, 04:44 PM"
FEMALE TELLCALLER,Not mentioned,"Chennai - Otteri, Perambur","10,000 - 20,000",Full Time Jobs,Not mentioned,"03 May 2025, 04:31 PM"
We are looking for girls in telecalling,Not mentioned,Amravati - Gadge Nagar,"15,000 - 16,000",Full Time Jobs,Not mentioned,"03 May 2025, 04:07 PM"
Urgent Hiring for Telecaller In Krishna Nagar Near Piccadilly Hotel Gate no. 3 Lucknow,Not mentioned,"Lucknow - Krishna Nagar, Aashiana","8,000 - 15,000",Full Time Jobs,Not mentioned,"03 May 2025, 02:52 PM"
Tele Caller,Terrain Bhuexpert Innovation Pvt Ltd,Lucknow - Gomti Nagar,"10,000 - 15,000",Full Time Jobs,Not mentioned,"03 May 2025, 02:52 PM"
Durgapura City,Not mentioned,"Durgapur - Durgapur, City Center, Gopalmath, A-Zone + 1 more","2,000 - 2,500",Full Time Jobs,Not mentioned,"03 May 2025, 02:51 PM"
Field Executive Male,Manobina Enterprise ( I ) Pvt. Ltd,Kolkata - Prince Anwar Shah Road,"10,000 - 15,000",Full Time Jobs,Not mentioned,"03 May 2025, 01:59 PM"
Customer relation manager,iTech Solutions Pvt. Ltd.,Navimumbai - Vashi,"14,500 - 25,000",Full Time Jobs,Not mentioned,"03 May 2025, 12:56 PM"
E-Surveillance Assistant,Premade Innovations Pvt. Ltd.,Mumbai - Ghatkopar West,"12,000 - 30,000",Full Time Jobs,Not mentioned,"03 May 2025, 11:56 AM"
TELE SALES EXCUTIVE,SUWASTH AYURVEDA,Ghaziabad - RDC,"12,000 - 18,000",Full Time Jobs,Not mentioned,"03 May 2025, 11:53 AM"
Micro Biology,Core2Code Healthcare,"Chennai - Chengalpattu - Thiruporur Road, Porur, Pallavaram-Thoraipakkam Road, Avadi","15,000 - 35,000",Full Time Jobs,Not mentioned,"03 May 2025, 11:51 AM"
digital marketing,VJR'S MARKETINGS PVT LTD,"Hyderabad - Kukatpally Housing Board Colony, KPHB, Bollaram-Miyapur","20,000 - 99,999",Work From Home,Not mentioned,"03 May 2025, 11:43 AM"
Customer Service Executive,Not mentioned,Gurgaon - Gurgaon-Faridabad Road,"18,000 - 35,000",Full Time Jobs,BPO/ Telecaller,"03 May 2025, 11:36 AM"
