title,company,location,salary,job_type,description,posted_date
Office Car driver,NuPrint Ltd,Bangalore - Koramangala 1st Block,"40,000 - 50,000",Full Time Jobs,Driver - Company-driver,"02 May 2025, 10:27 AM"
URGENT HIRING FOR DRIVER IN ABROAD,Not mentioned,"Kochi - Alangad, Airapuram, Alinchuvadu, Balakrishna Menon Road + 1 more","80,000 - 90,000",Full Time Jobs,Driver - Company-driver,"01 May 2025, 10:54 PM"
HIRING FOR DRIVERS FOR HYD LOCATION || UP TO 30K,SRINIKA TOURS AND TRAVELS,"Bhubaneswar - Acharya Vihar, Ag Colony, Andharua, Badagada + 1 more","25,000 - 30,000",Full Time Jobs,Driver - Taxi/Cab,"01 May 2025, 06:21 PM"
Join BluSmart as a Driver Start Earning Now In Delhi,BLU-SMART FLEET PRIVATE LIMITED,"Delhi - Andheria Mor Village, Bhogal, Deenpur, Ganesh Nagar + 1 more","25,000 - 30,000",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","01 May 2025, 07:36 AM"
Electric Auto Driver and Delivery Executive,Ruchak Snacks,Bhubaneswar - Mancheswar Industrial Estate,"17,000 - 18,000",Full Time Jobs,Driver - E-Rickshaw-Driver,"01 May 2025, 03:45 AM"
Join BluSmart as a Driver Start Earning Now In Gurgaon,BLU-SMART FLEET PRIVATE LIMITED,"Gurgaon - Baliawas, Baldev Nagar, Bajghera, Bandhwari + 1 more","25,000 - 30,000",Full Time Jobs,Driver,"30 Apr 2025, 01:40 PM"
Cab Driver,Unified It Services Pvt. Ltd,Hyderabad - Saidabad,"18,000 - 20,000",Full Time Jobs,Driver,"30 Apr 2025, 01:23 PM"
HIRING FOR DRIVERS FOR HYD LOCATION || UP TO 30K,SRINIKA TOURS AND TRAVELS,Mumbai - Full City,"25,000 - 30,000",Full Time Jobs,Driver,"30 Apr 2025, 11:15 AM"
HIRING FOR DRIVERS FOR HYD LOCATION || UP TO 30K,SRINIKA TOURS AND TRAVELS,"Bhimavaram - Balusumoodi, Housing Board Colony, Narasayyaagraharam, Srirampuram + 1 more","25,000 - 30,000",Full Time Jobs,Driver - Taxi/Cab,"30 Apr 2025, 11:00 AM"
WANTED DRIVER,Not mentioned,Chennai - Medavakkam,"53,000 - 60,000",Full Time Jobs,Driver,"30 Apr 2025, 10:14 AM"
