title,company,location,salary,job_type,description,posted_date
FIELD SALES EXECUTIVES || FRESHER & EXPERIENCED CANDIDATES || SALARY 35K PER MONTH ||,Not mentioned,"Chennai - Anna Nagar, Tambaram, Poonamallee, Madhavaram + 1 more","25,000 - 35,000",Full Time Jobs,"Sales - Health, Real-estate, IT, Banking-&-Financial-Services + 28 more","14 May 2024, 11:22 AM"
Field Sales Executive,Not mentioned,"Bangalore - 80 Ft. Road, Bellandur, Bellary Road, Banashankari + 1 more","20,000 - 25,000",Full Time Jobs,"Sales - Banking & Financial Services, Consumer Durables, FMCG, Retail","26 Apr 2025, 03:51 PM"
Field sales Executive,Not mentioned,"Hyderabad - Gachibowli, Gandhi Nagar, Hi Tech City, Himayat Nagar + 1 more","20,000 - 25,000",Full Time Jobs,"Sales - Banking & Financial Services, Consumer Durables, FMCG, Retail","25 Apr 2025, 09:38 PM"
Sales women,Not mentioned,"Agartala - Central Road, Shibnagar","9,000 - 9,500",Full Time Jobs,Sales,"04 May 2025, 02:24 AM"
Telecaller executive,Inrext pvt ltd,"Noida - Atta, Baraula","10,000 - 16,000",Full Time Jobs,Sales - Real-estate,"04 May 2025, 01:45 AM"
Inside Sales Executive,FiceConnect,Noida - Sector 62,"20,000 - 40,000",Full Time Jobs,"Sales - IT, B2B-sales","04 May 2025, 01:45 AM"
we are hiring,IMPERIA STRUCTURES LTD,"Noida - Sector 15, Sector 26, Sector 49, Sector 47 + 1 more","15,000 - 25,000",Full Time Jobs,Sales - Real-estate,"04 May 2025, 01:45 AM"
On field sales and marketing,Not mentioned,Ahmednagar - MIDC,"12,000 - 14,000",Full Time Jobs,"Sales - Manufacturing, B2B-sales, Industrial-Sales","04 May 2025, 12:40 AM"
Icecream n namkeen items,Not mentioned,"Guwahati - Bamunimaidan, Hatigarh Chariali, Kharghuli Hills, Noonmati + 1 more","18,500 - 22,000",Full Time Jobs,Sales,"04 May 2025, 12:23 AM"
Sale executives,Not mentioned,"Coimbatore - Ganapathi Maanagar, Gandhipuram, Athipalayam, Saravanampatti + 1 more","13,000 - 18,000",Full Time Jobs,Sales,"03 May 2025, 11:33 PM"
COUNTER SALES,BHARAT ELECTRIC CORPORATION,Delhi - New Mahavir Nagar,"10,000 - 12,000",Full Time Jobs,Sales,"03 May 2025, 11:12 PM"
Sales and Marketing Intern,Not mentioned,Trivandrum - Technopark,"1,000 - 6,500",Full Time Jobs,Sales,"03 May 2025, 11:03 PM"
PART TIME SALES JOB,INAVARAP,"Coimbatore - Avinashi Road, Gandhipuram, Kattampatti","20,000 - 40,000",Part Time Jobs,"Sales - Others, B2B-sales","03 May 2025, 10:07 PM"
tele sales,KAIG Group,Bangalore - Sahakara Nagar,"17,000 - 20,000",Full Time Jobs,Sales - Real-estate,"03 May 2025, 10:05 PM"
solar sales executive,Geopower India Private Limited,Delhi - South Delhi,"25,000 - 35,000",Full Time Jobs,Sales - Solar-System-Sales,"03 May 2025, 08:57 PM"
CASA sales officer,Career_Vista,Udaipur - Full City,"15,000 - 16,000",Full Time Jobs,Sales - Banking-&-Financial-Services,"03 May 2025, 08:28 PM"
CASA sales officer,Career_Vista,"Dungarpur - Sagwara, Bichhiwara, Galiyakot, Shivaji Nagar","16,500 - 17,500",Full Time Jobs,Sales - Banking-&-Financial-Services,"03 May 2025, 08:28 PM"
Sales & Marketing Manager,Trelum Lighting LLP / Munilal Vinod & Co,"Coimbatore - Sukrawar Pettai, Avinashi Road, RS Puram, Town Hall + 1 more","17,500 - 50,000",Full Time Jobs,"Sales - Others, Solar-System-Sales, Manufacturing, B2B-sales + 3 more","03 May 2025, 08:27 PM"
Field Sales Associate,Not mentioned,"Jammu - Katra, Akhnoor, Miran Sahib, Bari Brahmana + 1 more","12,000 - 18,000",Full Time Jobs,Sales,"03 May 2025, 08:14 PM"
Field Sales Executive,Not mentioned,"Bangalore - Kanakapura, Bilekahalli, Garvebhavi Palya, Hennur + 1 more","20,000 - 24,500",Full Time Jobs,Sales,"03 May 2025, 07:47 PM"
Agency Manager,Not mentioned,"Aurangabad - Chhatrapati Nagar, Aurangpura, Ajab Nagar, Bajaj Nagar + 1 more","35,000 - 36,000",Full Time Jobs,Sales,"03 May 2025, 07:30 PM"
